Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
2008,1862.338798,545.6092896,2445.161202,2196.967213
2009,1846.221918,414.8821096,1969.731205,1795.677123
2010,1651.523288,382.1753425,2045.271233,2020.50137
2011,2399.068493,499.509589,2573.326027,2492.282192
2012,1742.81694,225.9344262,1872.218579,1571.677596
2013,536.9534247,100.0493151,1324.109589,988.9643836
2014,311.9205479,39.10136986,1486.545205,915.9589041
2015,495.4082192,122.2780822,1168.942466,881.3178082
2016,1148.464481,187.1584699,1451.043716,1770.989071
2017,349.9863014,112.7534247,491.460274,469.0136986
2018,641.2575342,128.7260274,1154.073973,873.3150685
